captured_at,source,route,airline,flight_number,cabin_class,booking_window,departure_date,base_fare,fuel_surcharge,udf,psf,gst,total_fare,source_url
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E5388,economy,1,2026-08-30,,,,,,6914.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E6284,economy,1,2026-08-30,,,,,,8723.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E6029,economy,1,2026-08-30,,,,,,9411.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E5323,economy,1,2026-08-30,,,,,,9458.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E5184,economy,1,2026-08-30,,,,,,9644.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E5382,economy,1,2026-08-30,,,,,,9644.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E5047,economy,1,2026-08-30,,,,,,9644.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E5217,economy,1,2026-08-30,,,,,,10274.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E5221,economy,1,2026-08-30,,,,,,10904.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E5294,economy,1,2026-08-30,,,,,,11033.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E5092,economy,1,2026-08-30,,,,,,11639.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E6188,economy,1,2026-08-30,,,,,,11639.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E2085,economy,1,2026-08-30,,,,,,12483.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E5296,economy,1,2026-08-30,,,,,,16364.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E5193,economy,1,2026-08-30,,,,,,19553.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E51886E6892,economy,1,2026-08-30,,,,,,6487.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E63496E847,economy,1,2026-08-30,,,,,,6487.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E7366E7378,economy,1,2026-08-30,,,,,,7380.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E2306E6754,economy,1,2026-08-30,,,,,,7777.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E52846E6584,economy,1,2026-08-30,,,,,,8081.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E51266E6587,economy,1,2026-08-30,,,,,,8119.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E6736E6703,economy,1,2026-08-30,,,,,,8774.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E2406E5355,economy,1,2026-08-30,,,,,,8774.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E52416E6557,economy,1,2026-08-30,,,,,,9153.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E67016E6535,economy,1,2026-08-30,,,,,,9494.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E67016E196,economy,1,2026-08-30,,,,,,9494.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E51096E6774,economy,1,2026-08-30,,,,,,9494.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E65996E6744,economy,1,2026-08-30,,,,,,10417.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E2306E6163,economy,1,2026-08-30,,,,,,10815.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E52416E6163,economy,1,2026-08-30,,,,,,10815.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E1366E6892,economy,1,2026-08-30,,,,,,11110.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E20936E6482,economy,1,2026-08-30,,,,,,11156.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E6736E738,economy,1,2026-08-30,,,,,,11156.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E22376E996,economy,1,2026-08-30,,,,,,11156.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E53136E6209,economy,1,2026-08-30,,,,,,11304.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E63616E249,economy,1,2026-08-30,,,,,,11450.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E1366E6815,economy,1,2026-08-30,,,,,,11508.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E63496E365,economy,1,2026-08-30,,,,,,12425.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E53136E847,economy,1,2026-08-30,,,,,,12500.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E53376E365,economy,1,2026-08-30,,,,,,12980.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E52046E6209,economy,1,2026-08-30,,,,,,13040.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E51966E796,economy,1,2026-08-30,,,,,,13165.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E50486E796,economy,1,2026-08-30,,,,,,13165.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E51076E996,economy,1,2026-08-30,,,,,,13165.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E2616E6754,economy,1,2026-08-30,,,,,,13247.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E70376E633,economy,1,2026-08-30,,,,,,13870.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E66746E306,economy,1,2026-08-30,,,,,,14632.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E68026E6432,economy,1,2026-08-30,,,,,,16244.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E2616E633,economy,1,2026-08-30,,,,,,16502.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E60576E6584,economy,1,2026-08-30,,,,,,16930.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E61876E413,economy,1,2026-08-30,,,,,,19110.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E53866E6417,economy,1,2026-08-30,,,,,,19255.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E53866E6783,economy,1,2026-08-30,,,,,,19255.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E53866E285,economy,1,2026-08-30,,,,,,20472.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E53866E6505,economy,1,2026-08-30,,,,,,20472.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E51786E6417,economy,1,2026-08-30,,,,,,20766.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E52286E285,economy,1,2026-08-30,,,,,,20934.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E52286E6505,economy,1,2026-08-30,,,,,,20934.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E53376E189,economy,1,2026-08-30,,,,,,21364.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E51966E189,economy,1,2026-08-30,,,,,,21364.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E51786E314,economy,1,2026-08-30,,,,,,21983.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E51786E6405,economy,1,2026-08-30,,,,,,23311.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E53186E314,economy,1,2026-08-30,,,,,,25763.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E6326E823,economy,1,2026-08-30,,,,,,26355.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:19.664683+00:00,indigo_direct,BOM-BLR,IndiGo,6E53186E6405,economy,1,2026-08-30,,,,,,27091.0,scrapped-data-htmlfiles/Indigo_complete_BOM-BLR.html
2026-08-30T06:48:20.561984+00:00,makemytrip,BOM-BLR,Akasa Air,,economy,1,2026-08-30,,,,,,6496.0,scrapped-data-htmlfiles/MakeMyTrip_Bom-BLR_complete.html
2026-08-30T06:48:20.561984+00:00,makemytrip,BOM-BLR,Air India,,economy,1,2026-08-30,,,,,,6517.0,scrapped-data-htmlfiles/MakeMyTrip_Bom-BLR_complete.html
2026-08-30T06:48:20.561984+00:00,makemytrip,BOM-BLR,Air India,,economy,1,2026-08-30,,,,,,6517.0,scrapped-data-htmlfiles/MakeMyTrip_Bom-BLR_complete.html
2026-08-30T06:48:20.561984+00:00,makemytrip,BOM-BLR,IndiGo,,economy,1,2026-08-30,,,,,,6487.0,scrapped-data-htmlfiles/MakeMyTrip_Bom-BLR_complete.html
2026-08-30T06:48:20.561984+00:00,makemytrip,BOM-BLR,IndiGo,,economy,1,2026-08-30,,,,,,6487.0,scrapped-data-htmlfiles/MakeMyTrip_Bom-BLR_complete.html
2026-08-30T06:48:20.561984+00:00,makemytrip,BOM-BLR,IndiGo,,economy,1,2026-08-30,,,,,,6487.0,scrapped-data-htmlfiles/MakeMyTrip_Bom-BLR_complete.html
2026-08-30T06:48:20.561984+00:00,makemytrip,BOM-BLR,IndiGo,,economy,1,2026-08-30,,,,,,6487.0,scrapped-data-htmlfiles/MakeMyTrip_Bom-BLR_complete.html
2026-08-30T06:48:20.561984+00:00,makemytrip,BOM-BLR,IndiGo,,economy,1,2026-08-30,,,,,,6570.0,scrapped-data-htmlfiles/MakeMyTrip_Bom-BLR_complete.html
